,Date,User,Tweet
0,2023-04-19 05:03:02+00:00,mayavy1982,X 2DA OCASION EN MENOS DE UN MES @BancoPichincha NO ENTREGA LOS CAMBIOS DEL DEPÓSITO @superbancosEC YA SON 5.50 QUE EL BANCO NO DEVUELVE A SUS CLIENTES https://t.co/DA3EYbeofY
1,2023-04-19 04:45:40+00:00,pame_roche55896,"@Jaz241 @BancoGuayaquil @ClaroEcua @Visa @produbancoec @superbancosEC @DEFENSORIAEC Me acaba de suceder lo mismo @BancoPichincha
@ClaroEcua https://t.co/kmQf0F08fO"
2,2023-04-19 04:37:42+00:00,TwiggyOrgana,"Lo más gracioso que leí hoy (sobre mi problema con el Banco Pichincha) “por 70 dólares haces tanto drama? A mí me han robado mucho más y no me estoy quejando” 🤣🤣🤣🤣 claro, entiendo por qué le han robado tanto."
3,2023-04-19 04:30:00+00:00,Bolivar_Oficial,"📍 Estadio Monumental Banco Pichincha 🇪🇨

𝗖𝗼𝗻 𝗲𝗹 𝗼𝗯𝗷𝗲𝘁𝗶𝘃𝗼 𝗰𝗹𝗮𝗿𝗼 🎯

#UnidosSomosMásGrandes https://t.co/Fj43gA8zHf"
4,2023-04-19 04:20:07+00:00,bolivar247,"#CopaLibertadores2023
💙🤍HOY JUEGA EL MÁS GRANDE DE BOLIVIA💙🤍

💙APOYEMOS AL PLANTEL CELESTE💙

💙VAMOS BOLÍVAR💙

🗓️ MIÉRCOLES 19 DE ABRIL
⚽ BARCELONA 🇪🇨 🆚 🇧🇴BOLÍVAR 
⏰22:00
🏟️ESTADIO BANCO PICHINCHA 
📻 Radio Éxito 93.1Fm
🏆 COPA LIBERTADORES - GRUPO C / FECHA 2 https://t.co/CTIxuD3jKe"
5,2023-04-19 04:18:33+00:00,Daniela24122017,"@BancoPichincha @Cascabelito09 Sinverguenzas, cínicos."
6,2023-04-19 04:17:47+00:00,Ludwig75294316,@MiryamNuez2 @massitactic @BancoPichincha @FundacionCrisfe 👍🇺🇾
7,2023-04-19 03:38:58+00:00,BarcelonaSC,"Contamos las horas para volver a tener una gran noche de #ConmebolLibertadores. En nuestra casa, el Estadio Banco Pichincha 🤜🤛

#BSCvsBolivar 🔥
#VamosIdolo 🟡⚫️ https://t.co/Wo6rCwHVKF"
8,2023-04-19 02:46:35+00:00,FuentesVanessi,@TwiggyOrgana @BancoPichincha Vaya al banco y cierre
9,2023-04-19 02:15:07+00:00,MauricioOrtegaE,"¡NO A LA #MAFIA DEL #MONUMENTAL! Una vez mas la EX administradora del estadio #BancoPichincha saca a la venta sus boletos a palco más baratos que los que vende #BarcelonaSC, ahora para el juego vs #Bolívar por #CopaLibertadores. Hinchas y @sociosbsc SOLO COMPREN EN BOLETERIA #BSC https://t.co/wqWgK5u3tz"
10,2023-04-19 02:06:56+00:00,ijulianoferrari,@TwiggyOrgana Ponga su denuncia por escrito y documentada en la @superbancosEC. Banco Pichincha le teme a esa institución de control. Me pasó con Diners y lo resolvieron en menos de 3 semanas.
11,2023-04-19 02:06:10+00:00,jeffreymundial,estaré este miércoles desde el stadio BANCO PICHINCHA Barcelona vs Bolívar @RadioHuancavilk y @KCH_FM https://t.co/Sb9QQDUSVn
12,2023-04-19 02:00:36+00:00,BarcelonaSC,"Faltan 24 horas, para que ruede el balón en el Estadio Banco Pichincha 🏟⚽️ 

¡Vamos todos a alentar, por esos 3 puntos! 

Adquiere tu entrada en: https://t.co/3lNA3aZvBb o en puntos oficiales 🎟

#ConmebolLibertadores 🏆
#VamosIdolo 🟡⚫️ https://t.co/o5ue9PjmoS"
13,2023-04-19 02:00:11+00:00,soccerzzcom,Barcelona SC and Bolívar face off this Wednesday at the Estadio Monumental Banco Pichincha in an intriguing match in the Copa Liberta... https://t.co/PmB255lQnW
14,2023-04-19 01:37:52+00:00,SergioArturoCa2,"... (yo dije: esto pasa cuando un banquero @LassoGuillermo está de presidente). No sé desde cuándo pasa esto y no sé otros bancos 🏦.  @BancoPichincha nos está obligando a ""Retirar con Impresión"" para así cobrar por el retiro..."
15,2023-04-19 01:30:04+00:00,mateochipej,"@ppsesa @RicardoPatinoEC @dorissoliz @AugustoBarreraG @vinizeta @FEGASG @BancoPichincha @jteransalcedo @JohnSalcedoC @PaolaPabonC @LoroHomero @mariapaularomo FAVOR ayudar a recuperar mi HERENCIA       Gnral. MERINO

NO dejar que VIOLADOR TRAFICANTE GARROTILLO me GANE la CABEZA"
16,2023-04-19 01:03:19+00:00,crisrodri94,@BancoPichincha porque no se puede retirar dinero con la opción “retirar sin tarjeta” voy como una semana que no puedo retirar por ese medio😖
17,2023-04-19 00:52:13+00:00,JNCradio,"Delegación @Bolivar_Oficial 🇧🇴 ya se encuentra en territorio ecuatoriano previo a lo que será su partido ante @BarcelonaSC 🇪🇨 a jugarse este miércoles desde las 21H00 en el estadio Banco Pichincha, Monumental, Guayaquil por la jornada 2 Grupo C #Libertadores"
18,2023-04-19 00:34:26+00:00,JoseCantosBSC,"Sres. @BancoPichincha esto esta saliendo en su app.
Digame si es de su conocimiento ones algún tipo de engaño de hackers Xfavor.
Qué hago? https://t.co/2LxPE3btFS"
19,2023-04-19 00:23:42+00:00,chrosty55,@teleamazonasec De cuánto fue el incentivo que les dio @LassoGuillermo a @teleamazonasec y @BancoPichincha ahora el show
20,2023-04-19 00:18:51+00:00,RenatoRubio11,"@ProfHoax__ @TwiggyOrgana @BancoPichincha Así de Sencillo, sin tanto DRAMA"
21,2023-04-18 23:54:36+00:00,paulVallejo86,"@BancoPichincha  no vale el retiro sin tarjeta, confirmar cuándo estar habilitado otra vez el sistema"
