,Date,User,Tweet
0,2022-12-30 19:05:20+00:00,BancoPacificoEC,"@CaroMuirraguiR Hola, nos encontramos revisando tu solicitud por interno. GG°"
1,2022-12-30 18:59:13+00:00,BancoPacificoEC,"@cariasll Lamentamos las molestias causadas, nos informan que el servicio está operativo, por favor accede nuevamente. GG°"
2,2022-12-30 16:58:38+00:00,BancoPacificoEC,"@CaroMuirraguiR Hola, te dejamos un DM, recuerda que el Banco del Pacífico S.A. nunca te llamará para solicitar claves, usuarios, números de tarjetas completos o de cuenta por ningún medio y nuestras únicas cuentas oficiales son: @Bancopacificoec, @Pacificard y nuestro WhatsApp 0967723442. AF°"
3,2022-12-30 16:49:37+00:00,BancoPacificoEC,"@cariasll Hola, con el objetivo de mejorar la calidad de nuestros servicios, en este momento nos encontramos realizando una actualización en el sistema, en las próximas horas el proceso se encontrará regularizado y podrá acceder normalmente. Gracias por su compresión. GG°"
4,2022-12-30 15:00:14+00:00,BancoPacificoEC,"¡Feliz año 2023! 🎉

Conoce nuestros horarios de atención al cliente en agencias durante este feriado. 🙋‍♂️ Recuerda que siempre tienes a tu banco banco disponible en nuestros canales digitales. 📲 💻 https://t.co/v2onRszcaX"
5,2022-12-30 14:30:55+00:00,BancoPacificoEC,@nanamrodriguez Nos encontramos validando tu caso por interno. AF°
6,2022-12-30 13:55:41+00:00,BancoPacificoEC,"@nathym1986 Recuerda que el Banco del Pacífico S.A. nunca te contactará para solicitar claves, usuarios, números de tarjetas completos o de cuenta por ningún medio y nuestras únicas cuentas oficiales y verificadas son: @Bancopacificoec, @Pacificard y nuestro WhatsApp 0967723442. GG°"
7,2022-12-30 13:55:35+00:00,BancoPacificoEC,"@nathym1986 Hola, el tiempo máximo de acreditación es de 24 horas laborables. GG°"
8,2022-12-30 13:53:43+00:00,BancoPacificoEC,"@nayrobicastro Recuerda que el Banco del Pacífico S.A. nunca te contactará para solicitar claves, usuarios, números de tarjetas completos o de cuenta por ningún medio y nuestras únicas cuentas oficiales y verificadas son: @Bancopacificoec, @Pacificard y nuestro WhatsApp 0967723442. GG°"
9,2022-12-30 13:53:35+00:00,BancoPacificoEC,"@nayrobicastro Buen día, nos puedes enviar tu solicitud por interno para asistirte. GG°"
10,2022-12-30 13:51:05+00:00,BancoPacificoEC,"@carlozuri Hola, te dejamos un DM. Recuerda que el Banco del Pacífico S.A. nunca te llamará para solicitar claves, usuarios, números de tarjetas completos o de cuenta por ningún medio y nuestras únicas cuentas son: @Bancopacificoec, @Pacificard y nuestro WhatsApp 0967723442. GG°"
11,2022-12-30 13:49:37+00:00,BancoPacificoEC,"@nanamrodriguez Hola, te dejamos un DM. Recuerda que el Banco del Pacífico S.A. nunca te llamará para solicitar claves, usuarios, números de tarjetas completos o de cuenta por ningún medio y nuestras únicas cuentas son: @Bancopacificoec, @Pacificard y nuestro WhatsApp 0967723442. GG°"
12,2022-12-30 13:48:25+00:00,BancoPacificoEC,"@mcecilialopz Recuerda que el Banco del Pacífico S.A. nunca te contactará para solicitar claves, usuarios, números de tarjetas completos o de cuenta por ningún medio y nuestras únicas cuentas oficiales y verificadas son: @Bancopacificoec, @Pacificard y nuestro WhatsApp 0967723442. GG°"
13,2022-12-30 13:48:12+00:00,BancoPacificoEC,"@mcecilialopz Hola, dicho número no pertenece a nuestra entidad, por seguridad no debe otorgar ningún tipo de información. GG°"
14,2022-12-30 13:47:10+00:00,BancoPacificoEC,"@Carbsc2020 Hola, te dejamos un DM. Recuerda que el Banco del Pacífico S.A. nunca te llamará para solicitar claves, usuarios, números de tarjetas completos o de cuenta por ningún medio y nuestras únicas cuentas son: @Bancopacificoec, @Pacificard y nuestro WhatsApp 0967723442. GG°"
15,2022-12-30 13:45:57+00:00,BancoPacificoEC,"@cristhian_segu Hola, te dejamos un DM. Recuerda que el Banco del Pacífico S.A. nunca te llamará para solicitar claves, usuarios, números de tarjetas completos o de cuenta por ningún medio y nuestras únicas cuentas son: @Bancopacificoec, @Pacificard y nuestro WhatsApp 0967723442. GG°"
16,2022-12-29 22:00:02+00:00,BancoPacificoEC,"@MauroSukonota Buenas tardes, estamos asistiendo su requerimiento por interno. Le recordamos que nuestras cuentas oficiales verificadas son: @Bancopacificoec, @Pacificard y nuestro WhatsApp 0967723442. AC°"
17,2022-12-29 21:57:00+00:00,BancoPacificoEC,"@GeanellaGuerr10 Buenas tardes, lamentamos lo sucedido. Hemos reportado lo mencionado con el área encargada para su respectiva verificación. AC°"
18,2022-12-29 19:27:33+00:00,BancoPacificoEC,"@KatieToyaa Buenas tardes, estamos asistiendo su requerimiento por interno. Le recordamos que nuestras cuentas oficiales verificadas son: @Bancopacificoec, @Pacificard y nuestro WhatsApp 0967723442. AC°"
