,Date,User,Tweet
0,2023-03-30 20:54:58+00:00,BancoPichincha,"@MinedelaU ¡Buen día! Le ofrecemos nuestras disculpas por cualquier eventualidad que se haya presentado al usar nuestros servicios. Por favor, cuéntenos cuál es el problema para que podamos encontrar una solución lo antes posible. Saludos"
1,2023-03-30 20:53:23+00:00,BancoPichincha,"@Paty_Pamii correo electrónico y ciudad de residencia) para que un asesor se contacte con usted y atienda su caso.
Saludos 2/2"
2,2023-03-30 20:53:20+00:00,BancoPichincha,"@Paty_Pamii ¡Buen día! Aunque se encuentre en el exterior, estamos aquí para ayudarle.
Puede enviarnos sus datos personales completos (nombres, cédula de identidad, teléfono con el prefijo del país en el que se encuentra, 1/2"
3,2023-03-30 19:29:31+00:00,BancoPichincha,@steevnen ¡Buenas tardes! Le pedimos disculpas por las molestias. Ya estamos atendiendo su caso por interno. Saludos
4,2023-03-30 17:38:06+00:00,BancoPichincha,"@ney_alarcon correo electrónico y ciudad de residencia). En cuanto los recibamos, gestionaremos la llamada de uno de nuestros asesores.
Saludos 2/2"
5,2023-03-30 17:37:50+00:00,BancoPichincha,"@ney_alarcon ¡Buen día! Nos gustaría poder ayudarle con su caso. Por favor, escríbanos por mensaje privado el detalle de lo ocurrido y sus datos completos (nombres, cédula de identidad, teléfono, 1/2"
6,2023-03-30 17:31:02+00:00,BancoPichincha,"@MemorieslDreams correo electrónico y ciudad de residencia). En cuanto los recibamos, gestionaremos la llamada de uno de nuestros asesores.
Saludos 2/2"
7,2023-03-30 17:30:57+00:00,BancoPichincha,"@MemorieslDreams ¡Buen día! Nos gustaría poder ayudarle con su caso. Por favor, escríbanos por mensaje privado el detalle de lo ocurrido y sus datos completos (nombres, cédula de identidad, teléfono, 1/2"
8,2023-03-30 17:02:23+00:00,BancoPichincha,"@jorge_johan correo electrónico y ciudad de residencia). En cuanto los recibamos, gestionaremos la llamada de uno de nuestros asesores.
Saludos 2/2"
9,2023-03-30 17:02:19+00:00,BancoPichincha,"@jorge_johan ¡Buen día! Nos gustaría poder ayudarle con su caso. Por favor, escríbanos por mensaje privado el detalle de lo ocurrido y sus datos completos (nombres, cédula de identidad, teléfono, 1/2"
10,2023-03-30 16:14:16+00:00,BancoPichincha,"@rememberyou2021 teléfono, correo electrónico y ciudad de residencia). Apenas los recibamos, gestionaremos la llamada de un asesor. Saludos 2/2"
11,2023-03-30 16:14:13+00:00,BancoPichincha,"@rememberyou2021 ¡Buen día! Estamos aquí para ayudarle. Con seguridad podremos encontrar una solución si nos proporciona mayor detalle de lo ocurrido y sus datos personales completos (nombres, cédula de identidad, 1/2"
12,2023-03-30 16:11:23+00:00,BancoPichincha,"@lechuza120 ¡Buen día! Cualquier información sobre nuestras tarifas está disponible en el siguiente enlace: https://t.co/x1whnFwBly
Saludos"
