,Date,User,Tweet
0,2022-08-31 21:42:14+00:00,BancoPichincha,"@AlexFabricio86 ¡Buen día! Estamos aquí para ayudarle. Por favor, detállenos su caso para poder atenderle en el menor tiempo posible. Saludos"
1,2022-08-31 21:40:14+00:00,BancoPichincha,@PuccaGaby Buen día! Le pedimos disculpas por la incidencia en nuestro servicio de transferencias. Las transacciones no pudieron realizarse y el valor se devolverá a su cuenta en las próximas horas. Lamentamos las molestias ocasionadas. Saludos
2,2022-08-31 20:51:26+00:00,BancoPichincha,"@jvernaza Buen día! Lamentablemente por una incidencia en nuestro servicio de transferencias, la transacción no pudo realizarse. El valor se devolverá a la cuenta ordenante en las próximas horas. Saludos"
3,2022-08-31 20:45:06+00:00,BancoPichincha,"@dang_2811 Buen día! Debido a una intermitencia en el sistema, la transferencia que realizó no se acreditó. El valor se devolverá a la cuenta ordenante en las próximas horas. Le pedimos disculpas por las molestias ocasionadas. Saludos"
4,2022-08-31 20:43:35+00:00,BancoPichincha,@valukmiranda Buen día! Entendemos su malestar y le pedimos disculpas. Nuestro servicio de transferencias presentó intermitencias y el valor se devolverá a la cuenta del ordenante. Le pedimos disculpas por las molestias ocasionadas. Saludos
5,2022-08-31 20:42:57+00:00,BancoPichincha,@Alejndro2820 Buen día! Entendemos su malestar y le pedimos disculpas. Nuestro servicio de transferencias presentó intermitencias y el valor se devolverá a la cuenta del ordenante. Le pedimos disculpas por las molestias ocasionadas. Saludos
6,2022-08-31 20:41:35+00:00,BancoPichincha,@AlexFabricio86 Buen día! Entendemos su malestar y le pedimos disculpas. Nuestro servicio de transferencias presentó intermitencias y el valor se devolverá a la cuenta del ordenante. Le pedimos disculpas por las molestias ocasionadas. Saludos
7,2022-08-31 20:41:14+00:00,BancoPichincha,"@Paola_MoVe correo electrónico y ciudad de residencia). En cuanto los recibamos, gestionaremos la llamada de uno de nuestros asesores.
Saludos 2/2"
8,2022-08-31 20:41:09+00:00,BancoPichincha,"@Paola_MoVe @ClaroEcua @superbancosEC @DEFENSORIAEC ¡Buen día! Nos gustaría poder ayudarle con su caso. Por favor, escríbanos por mensaje privado el detalle de lo ocurrido y sus datos completos (nombres, cédula de identidad, teléfono, 1/2"
9,2022-08-31 20:35:12+00:00,BancoPichincha,@alexaalajo Buen día! Entendemos su malestar y le pedimos disculpas. Nuestro servicio de transferencias presentó intermitencias y el valor se devolverá a la cuenta del ordenante. Le pedimos disculpas por las molestias ocasionadas. Saludos
10,2022-08-31 20:33:32+00:00,BancoPichincha,@samparrenop Buen día! Entendemos su malestar y le pedimos disculpas. Nuestro servicio de transferencias presentó intermitencias y el valor se devolverá a la cuenta del ordenante. Le pedimos disculpas por las molestias ocasionadas. Saludos
11,2022-08-31 16:30:49+00:00,BancoPichincha,"@IngAlexanderEc Buen día! Lamentablemente por una incidencia en nuestro servicio de transferencias, la transacción no pudo realizarse. El valor se devolverá a su cuenta en las próximas horas. Saludos"
12,2022-08-31 16:30:02+00:00,BancoPichincha,@carpinteropoeta Buen día! Le pedimos disculpas por la incidencia en nuestro servicio de transferencias. La transacción no pudo realizarse y el valor se devolverá a su cuenta en las próximas horas. Lamentamos las molestias ocasionadas. Saludos
13,2022-08-31 16:10:57+00:00,BancoPichincha,@RenVillalta1 Buen día! Le pedimos disculpas por la incidencia en nuestro servicio de transferencias. La transacción no pudo realizarse y el valor se devolverá a su cuenta en las próximas horas. Lamentamos las molestias ocasionadas. Saludos
14,2022-08-31 16:04:06+00:00,BancoPichincha,"@roxyanis15924 Buen día! Debido a una intermitencia en el sistema, la transferencia que realizó no se acreditó. El valor se devolverá a su cuenta en las próximas horas. Le pedimos disculpas por las molestias ocasionadas. Saludos"
15,2022-08-31 16:02:16+00:00,BancoPichincha,@JohannaAbad4 Buen día! Entendemos su malestar y le pedimos disculpas. Nuestro servicio de transferencias presentó intermitencias y el valor se devolverá a la cuenta del ordenante. Le pedimos disculpas por las molestias ocasionadas. Saludos
16,2022-08-31 15:50:39+00:00,BancoPichincha,@jessvargjm ¡Buen día! Hemos verificado y la aplicación sigue funcionando con normalidad. Saludos
17,2022-08-31 15:49:47+00:00,BancoPichincha,"@ALeXiTa25A ¡Buen día! Por favor, confírmenos si ya posee un número de reclamo para dar seguimiento a su caso. Saludos"
18,2022-08-31 15:48:30+00:00,BancoPichincha,"@michaella997 ¡Buen día! Por favor, indíquenos su número de reclamo para dar seguimiento al caso. Saludos"
